model,event_id,market_id,model_prob_yes,yes_ask,no_ask,outcome,platform
Claude Sonnet 4.6 (Variant B),E1106,M01984,0.92,98.0,3.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1106,M01985,0.0799999999999999,3.0,98.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5053,M09930,0.43,49.0,52.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5053,M09931,0.5700000000000001,52.0,49.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1519,M02911,0.04,16.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1519,M02708,0.97,98.0,10.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1558,M05200,0.05,5.0,96.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5054,M09932,0.74,72.0,74.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5054,M09933,0.26,74.0,72.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2698,M05028,0.5,52.0,52.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2698,M05029,0.5,52.0,52.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2694,M13270,0.68,41.0,67.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2694,M13274,0.93,57.99999999999999,47.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2699,M05030,0.43,72.0,59.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2699,M05031,0.35,64.0,95.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2659,M04948,0.08,8.0,95.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1076,M02868,0.06,6.2,94.6,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1077,M01943,0.001,0.05,99.95,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1135,M02030,0.001,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1083,M01950,0.06,12.0,94.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0529,M11680,0.13,18.0,89.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1086,M02873,0.03,5.800000000000001,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1088,M02876,0.08,7.000000000000001,94.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0530,M02875,0.01,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1092,M01961,0.5,54.89000000000001,48.79,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1092,M01962,0.5,48.79,54.89000000000001,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1090,M01959,0.001,0.05,99.95,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0485,M02874,0.001,0.05,99.95,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5061,M09948,0.02,49.0,53.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5061,M09949,0.98,53.0,49.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5062,M09950,0.44,46.0,55.00000000000001,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5062,M09951,0.56,55.00000000000001,46.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5063,M09952,0.84,88.0,13.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5063,M09953,0.16,13.0,88.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0989,M01778,0.91,60.0,36.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0989,M01779,0.0899999999999999,36.0,60.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0647,M01168,0.92,98.0,22.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0647,M01169,0.0799999999999999,22.0,98.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0505,M02881,0.13,16.0,91.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2705,M05040,0.98,71.0,59.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E4586,M08854,0.14,98.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E4586,M08855,0.86,99.0,98.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1116,M01998,0.02,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1116,M01999,0.98,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1123,M02010,0.1,4.0,97.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1123,M02011,0.9,97.0,4.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1130,M02023,0.05,7.000000000000001,97.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0592,M02882,0.94,94.0,26.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2701,M05034,0.09,13.0,88.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5065,M09956,0.58,56.99999999999999,44.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5065,M09957,0.42,44.0,56.99999999999999,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5066,M09958,0.51,55.00000000000001,46.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5066,M09959,0.49,46.0,55.00000000000001,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5067,M09960,0.45,48.0,53.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5067,M09961,0.55,53.0,48.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5068,M09962,0.1,12.0,90.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5068,M09963,0.9,90.0,12.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1134,M02028,0.01,0.8,99.6,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1134,M02029,0.99,99.6,0.8,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1250,M02231,0.97,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1250,M02232,0.03,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0541,M09938,0.33,48.0,60.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0541,M01007,0.27,37.0,65.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1138,M02035,0.13,16.0,88.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1138,M02036,0.87,88.0,16.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1131,M10157,0.87,78.0,27.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2708,M05045,0.55,41.0,61.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5070,M13316,0.42,44.0,56.99999999999999,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2790,M05202,0.57,57.99999999999999,43.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2790,M05203,0.43,43.0,57.99999999999999,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0051,M00113,0.003,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0051,M11442,0.002,0.3,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0051,M11443,0.002,0.2,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1084,M12780,0.92,3.0,98.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1467,M04925,0.98,99.9,0.2,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1144,M02045,0.04,7.000000000000001,96.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1241,M02215,0.01,0.8999999999999999,99.8,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1241,M02216,0.99,99.8,0.8999999999999999,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5072,M09969,0.88,92.0,20.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5072,M09970,0.82,82.0,50.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2695,M05021,0.2,25.0,87.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2695,M05022,0.15,28.000000000000004,82.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1492,M02666,0.06,93.0,9.24,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1492,M02667,0.94,9.24,93.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2847,M13241,0.18,17.0,84.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2847,M13245,0.4,43.0,57.99999999999999,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1514,M13242,0.95,98.0,3.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2711,M05050,0.98,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2711,M05051,0.02,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0581,M12444,0.27,21.0,84.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1078,M05709,0.69,70.0,33.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1078,M02870,0.83,86.0,15.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1248,M12456,0.97,97.0,4.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E4629,M08948,0.97,99.0,3.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2709,M05047,0.81,82.0,19.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1238,M02208,0.18,35.8,94.56,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1238,M02211,0.01,0.66,96.7,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1237,M08988,0.02,2.8899999999999997,99.69,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1237,M08989,0.97,99.5,2.69,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0675,M08802,0.98,99.9,2.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1236,M08990,0.01,1.6,99.7,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1234,M08986,0.01,1.0,99.5,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0676,M01219,0.86,55.00000000000001,12.21,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0676,M01220,0.14,12.21,55.00000000000001,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1614,M04871,0.43,41.0,59.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0679,M02906,0.001,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E7000,M13273,0.7,71.0,32.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E7000,M16175,0.3,32.0,71.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5060,M09947,0.33,36.0,66.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2712,M05052,0.22,53.0,49.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2712,M05053,0.78,49.0,53.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1232,M09253,0.08,7.000000000000001,94.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1373,M02449,0.16,14.000000000000002,88.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1373,M02450,0.84,88.0,14.000000000000002,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2715,M05058,0.03,41.0,60.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2715,M05059,0.97,60.0,41.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1007,M01813,0.28,38.0,63.62,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1007,M01814,0.72,63.62,38.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1271,M02894,0.83,96.0,28.999999999999996,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5076,M09977,0.6,59.0,49.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5076,M09978,0.4,49.0,59.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2719,M05066,0.62,55.00000000000001,50.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2719,M05067,0.38,50.0,55.00000000000001,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2720,M05068,0.47,50.0,51.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2720,M05069,0.53,51.0,50.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1479,M02639,0.003,5.6000000000000005,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1479,M02640,0.13,16.0,80.25,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1479,M02641,0.002,0.1,99.64,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1479,M02642,0.87,85.0,16.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1479,M02645,0.01,5.88,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05831,0.06,47.08,60.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05832,0.01,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05833,0.01,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05835,0.02,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05837,0.02,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05838,0.01,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05840,0.03,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1006,M05842,0.03,1.08,99.2,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1617,M02915,0.84,79.0,25.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1617,M02916,0.16,25.0,79.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0680,M01226,0.98,99.9,1.3,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0680,M01227,0.02,1.3,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2703,M13293,0.7,76.0,39.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1246,M02225,0.1,15.0,89.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E3197,M13299,0.94,96.0,5.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1364,M02429,0.002,0.05,99.95,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1364,M02433,0.005,0.05,99.95,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1364,M02434,0.002,0.05,99.95,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0550,M01022,0.003,0.3,99.9,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0648,M01170,0.87,93.0,12.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0648,M01171,0.13,12.0,93.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5080,M09985,0.09,6.0,95.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5080,M09986,0.91,95.0,6.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2722,M05072,0.01,0.3,99.8,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2722,M05073,0.99,99.8,0.3,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2723,M05074,0.04,2.47,99.2,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5097,M10026,0.09,12.0,91.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5097,M10027,0.91,91.0,12.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5082,M09989,0.2,33.0,68.5,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5082,M09990,0.8,68.5,33.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E7012,M13306,0.03,3.35,99.1,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E7012,M16176,0.97,99.1,3.35,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2724,M05076,0.04,2.97,99.7,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2724,M05077,0.96,99.7,2.97,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5098,M10028,0.01,4.0,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5098,M10029,0.99,99.9,4.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1340,M13333,0.01,0.7000000000000001,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E5083,M09991,0.58,82.0,26.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5083,M09992,0.42,26.0,82.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5084,M09993,0.97,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5084,M09994,0.03,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2905,M05434,0.18,23.0,78.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2905,M05435,0.8200000000000001,78.0,23.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2726,M05080,0.9,56.99999999999999,45.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2726,M05081,0.0999999999999999,45.0,56.99999999999999,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5073,M09971,0.98,99.0,2.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5073,M09972,0.02,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2727,M05082,0.48,50.0,51.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2727,M05083,0.52,51.0,50.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5057,M09942,0.14,14.000000000000002,87.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5087,M09999,0.7,65.0,59.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0673,M01215,0.01,6.859999999999999,99.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E0673,M01216,0.99,99.0,6.859999999999999,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1415,M02525,0.08,13.0,93.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1415,M02526,0.92,93.0,13.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5088,M10000,0.55,53.0,48.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5088,M10001,0.4499999999999999,48.0,53.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2792,M05206,0.99,99.9,0.1,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2792,M05207,0.01,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2729,M05086,0.98,99.9,0.7000000000000001,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2729,M05087,0.02,0.7000000000000001,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1041,M05017,0.005,0.1,99.9,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1371,M10023,0.06,5.0,96.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5089,M10002,0.55,55.00000000000001,46.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E5089,M10003,0.4499999999999999,46.0,55.00000000000001,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0691,M02912,0.87,92.0,14.000000000000002,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E0691,M02913,0.83,95.0,10.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2731,M10004,0.38,44.0,62.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2731,M10005,0.87,88.0,16.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2731,M10007,0.65,63.0,42.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1487,M02659,0.27,43.0,59.0,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2732,M05093,0.02,0.8999999999999999,99.8,0.0,Polymarket
Claude Sonnet 4.6 (Variant B),E2733,M05094,0.97,97.0,18.0,1.0,Kalshi
Claude Sonnet 4.6 (Variant B),E2733,M05095,0.03,18.0,97.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E3243,M06108,0.03,2.0,99.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1622,M07361,0.95,99.0,2.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1622,M07362,0.86,98.0,7.000000000000001,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E1489,M02661,0.52,64.36,37.0,1.0,Polymarket
Claude Sonnet 4.6 (Variant B),E1049,M01891,0.05,5.0,96.0,0.0,Kalshi
Claude Sonnet 4.6 (Variant B),E4759,M09198,0.83,78.0,25.0,0.0,Kalshi
