model,day,event_id,market_id,model_prob_yes,yes_ask,no_ask,outcome,platform,pnl,cost
Gemini 3.1 Pro (Variant B),1,E0008,M00017,0.5,49.0,51.0,1.0,Polymarket,0.005100000000000005,0.004900000000000004
Gemini 3.1 Pro (Variant B),1,E0009,M00018,0.9,97.0,4.0,1.0,Kalshi,-0.002399999999999999,0.002399999999999999
Gemini 3.1 Pro (Variant B),1,E0009,M00019,0.0999999999999999,4.0,97.0,0.0,Kalshi,-0.002399999999999996,0.002399999999999996
Gemini 3.1 Pro (Variant B),1,E0010,M00020,0.78,89.0,13.0,1.0,Kalshi,-0.011699999999999997,0.011699999999999997
Gemini 3.1 Pro (Variant B),1,E0010,M00021,0.2199999999999999,13.0,89.0,0.0,Kalshi,-0.011699999999999985,0.011699999999999985
Gemini 3.1 Pro (Variant B),1,E0011,M00022,0.85,97.0,8.0,1.0,Kalshi,-0.005600000000000002,0.005600000000000002
Gemini 3.1 Pro (Variant B),1,E0011,M00023,0.15,8.0,97.0,0.0,Kalshi,-0.0056,0.0056
Gemini 3.1 Pro (Variant B),1,E0012,M00024,0.71,56.00000000000001,45.0,1.0,Kalshi,0.06599999999999995,0.08399999999999996
Gemini 3.1 Pro (Variant B),1,E0012,M00025,0.29,45.0,56.00000000000001,0.0,Kalshi,0.06599999999999995,0.08399999999999996
Gemini 3.1 Pro (Variant B),1,E0013,M00026,0.55,97.0,5.0,1.0,Kalshi,-0.02,0.02
Gemini 3.1 Pro (Variant B),1,E0013,M00027,0.4499999999999999,5.0,97.0,0.0,Kalshi,-0.019999999999999997,0.019999999999999997
Gemini 3.1 Pro (Variant B),1,E0014,M00028,0.2,17.0,84.0,1.0,Polymarket,0.0249,0.0051
Gemini 3.1 Pro (Variant B),1,E0014,M00029,0.8,84.0,17.0,0.0,Polymarket,0.024899999999999953,0.005099999999999991
Gemini 3.1 Pro (Variant B),1,E0015,M00030,0.65,81.19,30.19,1.0,Polymarket,-0.014521389999999993,0.014521389999999993
Gemini 3.1 Pro (Variant B),1,E0015,M00031,0.85,89.0,16.400000000000002,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0015,M00032,0.85,98.17,0.2,1.0,Polymarket,-0.00029600000000000004,0.00029600000000000004
Gemini 3.1 Pro (Variant B),1,E0016,M00033,0.64,65.0,36.0,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0016,M00034,0.36,36.0,65.0,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0017,M00035,0.16,16.0,85.0,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0017,M00036,0.84,85.0,16.0,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0018,M00037,0.01,0.5,99.9,0.0,Polymarket,-2.5e-05,2.5e-05
Gemini 3.1 Pro (Variant B),1,E0018,M00038,0.99,99.9,0.5,1.0,Polymarket,-2.5000000000000045e-05,2.5000000000000045e-05
Gemini 3.1 Pro (Variant B),1,E0019,M00039,0.11,12.0,89.0,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0019,M00040,0.89,89.0,12.0,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),1,E0020,M00041,0.88,97.0,6.0,1.0,Polymarket,-0.0036,0.0036
Gemini 3.1 Pro (Variant B),1,E0020,M00042,0.12,6.0,97.0,0.0,Polymarket,-0.0036,0.0036
Gemini 3.1 Pro (Variant B),2,E0021,M00043,0.13,53.0,50.0,0.0,Kalshi,0.185,0.185
Gemini 3.1 Pro (Variant B),2,E0021,M00044,0.87,50.0,53.0,1.0,Kalshi,0.185,0.185
Gemini 3.1 Pro (Variant B),2,E0022,M00045,0.12,15.0,89.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0022,M00046,0.92,95.0,8.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0022,M00047,0.06,13.0,92.0,0.0,Kalshi,0.0015999999999999903,0.018399999999999916
Gemini 3.1 Pro (Variant B),2,E0022,M00048,0.82,84.0,23.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0022,M00049,0.99,99.0,2.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0023,M00050,0.45,39.0,64.0,1.0,Kalshi,0.036599999999999994,0.0234
Gemini 3.1 Pro (Variant B),2,E0023,M00051,0.55,64.0,39.0,0.0,Kalshi,0.036599999999999966,0.02339999999999998
Gemini 3.1 Pro (Variant B),2,E0024,M00052,0.01,3.18,75.0,0.0,Polymarket,0.06,0.18
Gemini 3.1 Pro (Variant B),2,E0024,M00053,0.99,75.0,3.18,1.0,Polymarket,0.06,0.18
Gemini 3.1 Pro (Variant B),2,E0025,M00054,0.35,28.999999999999996,71.0,0.0,Polymarket,-0.0174,0.0174
Gemini 3.1 Pro (Variant B),2,E0025,M00055,0.65,71.0,28.999999999999996,1.0,Polymarket,-0.0174,0.0174
Gemini 3.1 Pro (Variant B),2,E0026,M00056,0.92,89.0,12.0,1.0,Kalshi,0.003300000000000001,0.026700000000000026
Gemini 3.1 Pro (Variant B),2,E0026,M00057,0.0799999999999999,12.0,89.0,0.0,Kalshi,0.0033000000000000147,0.026700000000000123
Gemini 3.1 Pro (Variant B),2,E0027,M00058,0.54,19.0,82.0,1.0,Kalshi,0.28350000000000003,0.0665
Gemini 3.1 Pro (Variant B),2,E0027,M00059,0.4599999999999999,82.0,19.0,0.0,Kalshi,0.28350000000000003,0.0665
Gemini 3.1 Pro (Variant B),2,E0028,M00060,0.99,97.0,5.0,1.0,Kalshi,0.0005999999999999998,0.019400000000000018
Gemini 3.1 Pro (Variant B),2,E0028,M00061,0.01,5.0,97.0,0.0,Kalshi,0.0005999999999999998,0.019400000000000018
Gemini 3.1 Pro (Variant B),2,E0029,M00062,0.49,52.0,49.0,0.0,Kalshi,0.01020000000000001,0.009800000000000008
Gemini 3.1 Pro (Variant B),2,E0029,M00063,0.51,49.0,52.0,1.0,Kalshi,0.01020000000000001,0.009800000000000008
Gemini 3.1 Pro (Variant B),2,E0030,M00064,0.85,86.0,23.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0031,M00065,0.45,53.0,51.0,0.0,Kalshi,0.019600000000000017,0.02040000000000002
Gemini 3.1 Pro (Variant B),2,E0031,M00066,0.55,51.0,53.0,1.0,Kalshi,0.019600000000000017,0.02040000000000002
Gemini 3.1 Pro (Variant B),2,E0032,M00067,0.44,45.0,57.99999999999999,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0032,M00068,0.56,57.99999999999999,45.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0033,M00069,0.31,22.0,79.0,0.0,Kalshi,-0.019799999999999998,0.019799999999999998
Gemini 3.1 Pro (Variant B),2,E0033,M00070,0.19,22.0,79.0,0.0,Kalshi,0.004200000000000002,0.015800000000000015
Gemini 3.1 Pro (Variant B),2,E0033,M00071,0.33,39.0,62.0,1.0,Kalshi,-0.030999999999999958,0.030999999999999958
Gemini 3.1 Pro (Variant B),2,E0034,M00072,0.75,68.0,34.0,1.0,Kalshi,0.022399999999999982,0.04759999999999997
Gemini 3.1 Pro (Variant B),2,E0034,M00073,0.25,34.0,68.0,0.0,Kalshi,0.022399999999999982,0.04759999999999997
Gemini 3.1 Pro (Variant B),2,E0035,M00074,0.35,92.0,11.0,0.0,Kalshi,0.4806,0.0594
Gemini 3.1 Pro (Variant B),2,E0035,M00075,0.65,11.0,92.0,1.0,Kalshi,0.4806,0.0594
Gemini 3.1 Pro (Variant B),2,E0036,M00076,0.55,43.0,57.99999999999999,0.0,Kalshi,-0.05160000000000002,0.05160000000000002
Gemini 3.1 Pro (Variant B),2,E0036,M00077,0.4499999999999999,57.99999999999999,43.0,1.0,Kalshi,-0.05160000000000002,0.05160000000000002
Gemini 3.1 Pro (Variant B),2,E0037,M00078,0.25,54.0,47.0,0.0,Kalshi,0.14840000000000003,0.1316
Gemini 3.1 Pro (Variant B),2,E0037,M00079,0.24,30.0,72.0,0.0,Kalshi,0.011200000000000012,0.028800000000000023
Gemini 3.1 Pro (Variant B),2,E0038,M00080,0.87,91.0,11.0,0.0,Kalshi,0.017800000000000003,0.0022000000000000006
Gemini 3.1 Pro (Variant B),2,E0038,M00081,0.13,11.0,91.0,1.0,Kalshi,0.017800000000000003,0.0022000000000000006
Gemini 3.1 Pro (Variant B),2,E0039,M00082,0.85,80.0,21.0,1.0,Kalshi,0.009999999999999981,0.03999999999999995
Gemini 3.1 Pro (Variant B),2,E0039,M00083,0.15,21.0,80.0,0.0,Kalshi,0.009999999999999981,0.03999999999999995
Gemini 3.1 Pro (Variant B),2,E0040,M00084,0.43,40.0,61.0,0.0,Kalshi,-0.01199999999999999,0.01199999999999999
Gemini 3.1 Pro (Variant B),2,E0040,M00085,0.5700000000000001,61.0,40.0,1.0,Kalshi,-0.011999999999999967,0.011999999999999967
Gemini 3.1 Pro (Variant B),2,E0041,M00086,0.92,92.0,13.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0041,M00087,0.0799999999999999,13.0,92.0,0.0,Kalshi,8.881784197001248e-18,1.021405182655144e-16
Gemini 3.1 Pro (Variant B),2,E0042,M00088,0.85,88.0,15.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0042,M00089,0.45,33.0,68.0,1.0,Kalshi,0.0804,0.0396
Gemini 3.1 Pro (Variant B),2,E0042,M00090,0.28,38.0,64.0,1.0,Kalshi,-0.051199999999999975,0.051199999999999975
Gemini 3.1 Pro (Variant B),2,E0042,M00091,0.82,84.0,20.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0042,M00092,0.32,41.0,62.0,0.0,Kalshi,0.02279999999999998,0.03719999999999996
Gemini 3.1 Pro (Variant B),2,E0043,M00093,0.85,92.0,9.0,1.0,Kalshi,-0.005400000000000002,0.005400000000000002
Gemini 3.1 Pro (Variant B),2,E0043,M00094,0.15,9.0,92.0,0.0,Kalshi,-0.005399999999999999,0.005399999999999999
Gemini 3.1 Pro (Variant B),2,E0044,M00095,0.56,60.0,41.0,1.0,Kalshi,-0.012299999999999988,0.012299999999999988
Gemini 3.1 Pro (Variant B),2,E0044,M00096,0.42,41.0,60.0,0.0,Kalshi,-0.004100000000000004,0.004100000000000004
Gemini 3.1 Pro (Variant B),2,E0045,M00097,0.08,13.0,88.0,0.0,Kalshi,0.004800000000000006,0.03520000000000003
Gemini 3.1 Pro (Variant B),2,E0045,M00098,0.96,97.0,4.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0046,M00099,0.75,85.0,17.0,1.0,Kalshi,-0.0136,0.0136
Gemini 3.1 Pro (Variant B),2,E0046,M00100,0.25,17.0,85.0,0.0,Kalshi,-0.0136,0.0136
Gemini 3.1 Pro (Variant B),2,E0047,M00101,0.65,95.0,98.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0047,M00102,0.35,98.0,95.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0048,M00103,0.68,72.0,28.999999999999996,1.0,Kalshi,-0.00869999999999999,0.00869999999999999
Gemini 3.1 Pro (Variant B),2,E0048,M00104,0.3199999999999999,28.999999999999996,72.0,0.0,Kalshi,-0.008699999999999975,0.008699999999999975
Gemini 3.1 Pro (Variant B),2,E0049,M00105,0.72,56.00000000000001,48.0,1.0,Kalshi,0.07039999999999996,0.08959999999999996
Gemini 3.1 Pro (Variant B),2,E0049,M00106,0.28,48.0,56.00000000000001,0.0,Kalshi,0.07039999999999996,0.08959999999999996
Gemini 3.1 Pro (Variant B),2,E0050,M00107,0.45,92.1,8.4,1.0,Polymarket,-0.039144000000000005,0.039144000000000005
Gemini 3.1 Pro (Variant B),2,E0050,M00108,0.55,8.4,92.1,0.0,Polymarket,-0.039144000000000005,0.039144000000000005
Gemini 3.1 Pro (Variant B),2,E0051,M00109,0.001,1.61,98.93,0.0,Polymarket,0.00010378999999999944,0.009596209999999931
Gemini 3.1 Pro (Variant B),2,E0051,M00110,0.001,1.7000000000000002,96.44,0.0,Polymarket,0.0012317600000000054,0.03336824000000007
Gemini 3.1 Pro (Variant B),2,E0051,M00111,0.01,0.8,99.1,0.0,Polymarket,-1.6e-05,1.6e-05
Gemini 3.1 Pro (Variant B),2,E0051,M00112,0.001,0.7000000000000001,99.7,0.0,Polymarket,5.999999999999929e-06,0.001994000000000002
Gemini 3.1 Pro (Variant B),2,E0051,M00113,0.001,2.32,99.2,0.0,Polymarket,5.6000000000000494e-05,0.006944000000000006
Gemini 3.1 Pro (Variant B),2,E0051,M00114,0.001,1.2,98.95,0.0,Polymarket,9.974999999999914e-05,0.009400249999999954
Gemini 3.1 Pro (Variant B),2,E0052,M00115,0.98,8.459999999999999,85.0,1.0,Polymarket,0.81964916,0.07575084
Gemini 3.1 Pro (Variant B),2,E0052,M00116,0.02,85.0,8.459999999999999,0.0,Polymarket,0.81964916,0.07575084
Gemini 3.1 Pro (Variant B),2,E0053,M00117,0.04,1.5,98.6,0.0,Polymarket,-0.000375,0.000375
Gemini 3.1 Pro (Variant B),2,E0053,M00118,0.42,56.99999999999999,44.0,0.0,Polymarket,0.07840000000000004,0.06160000000000003
Gemini 3.1 Pro (Variant B),2,E0054,M00119,0.02,0.6,99.5,0.0,Polymarket,-8.400000000000001e-05,8.400000000000001e-05
Gemini 3.1 Pro (Variant B),2,E0054,M00120,0.98,99.5,0.6,1.0,Polymarket,-8.40000000000001e-05,8.40000000000001e-05
Gemini 3.1 Pro (Variant B),2,E0055,M00121,0.98,98.85,3.8,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0055,M00122,0.02,3.8,98.85,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0056,M00123,0.001,1.44,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0056,M00124,0.999,99.9,1.44,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0057,M00125,0.54,54.0,47.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0057,M00126,0.4599999999999999,47.0,54.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0058,M00127,0.65,75.0,35.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0058,M00128,0.35,35.0,75.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0059,M00129,0.3,30.0,71.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0059,M00130,0.7,70.0,31.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0060,M00131,0.85,69.0,34.0,0.0,Kalshi,-0.11040000000000001,0.11040000000000001
Gemini 3.1 Pro (Variant B),2,E0060,M00132,0.15,34.0,69.0,1.0,Kalshi,-0.11040000000000001,0.11040000000000001
Gemini 3.1 Pro (Variant B),2,E0061,M00133,0.58,56.99999999999999,44.0,1.0,Kalshi,0.004300000000000004,0.0057000000000000045
Gemini 3.1 Pro (Variant B),2,E0061,M00134,0.42,44.0,56.99999999999999,0.0,Kalshi,0.004300000000000052,0.005700000000000068
Gemini 3.1 Pro (Variant B),2,E0062,M00135,0.33,60.0,41.0,0.0,Kalshi,0.15339999999999998,0.10659999999999997
Gemini 3.1 Pro (Variant B),2,E0062,M00136,0.6699999999999999,41.0,60.0,1.0,Kalshi,0.15339999999999998,0.10659999999999997
Gemini 3.1 Pro (Variant B),2,E0063,M00137,0.55,55.00000000000001,46.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0063,M00138,0.43,46.0,55.00000000000001,0.0,Kalshi,0.009000000000000006,0.011000000000000012
Gemini 3.1 Pro (Variant B),2,E0064,M00139,0.96,96.0,5.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0064,M00140,0.04,5.0,96.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0065,M00141,0.98,99.0,3.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0065,M00142,0.02,3.0,99.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0066,M00143,0.01,1.4,99.8,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0066,M00144,0.99,99.8,1.4,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0067,M00145,0.02,1.9,99.0,0.0,Polymarket,-1.9000000000000018e-05,1.9000000000000018e-05
Gemini 3.1 Pro (Variant B),2,E0067,M00146,0.98,99.0,1.9,1.0,Polymarket,-1.9000000000000347e-05,1.9000000000000347e-05
Gemini 3.1 Pro (Variant B),2,E0068,M00147,0.46,46.0,55.00000000000001,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0068,M00148,0.54,55.00000000000001,46.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0069,M00149,0.07,61.0,89.0,0.0,Kalshi,0.004399999999999994,0.03559999999999993
Gemini 3.1 Pro (Variant B),2,E0069,M00150,0.93,89.0,61.0,1.0,Kalshi,0.004400000000000001,0.035600000000000034
Gemini 3.1 Pro (Variant B),2,E0070,M00151,0.05,13.0,88.0,0.0,Kalshi,0.00839999999999999,0.06159999999999996
Gemini 3.1 Pro (Variant B),2,E0070,M00152,0.95,88.0,13.0,1.0,Kalshi,0.00839999999999999,0.06159999999999996
Gemini 3.1 Pro (Variant B),2,E0071,M00153,0.91,94.0,7.000000000000001,1.0,Kalshi,-0.0013999999999999974,0.0013999999999999974
Gemini 3.1 Pro (Variant B),2,E0071,M00154,0.0899999999999999,7.000000000000001,94.0,0.0,Kalshi,-0.0013999999999999926,0.0013999999999999926
Gemini 3.1 Pro (Variant B),2,E0072,M00155,0.88,93.3,7.000000000000001,1.0,Kalshi,-0.0034999999999999996,0.0034999999999999996
Gemini 3.1 Pro (Variant B),2,E0072,M00156,0.12,7.000000000000001,93.3,0.0,Kalshi,-0.0034999999999999996,0.0034999999999999996
Gemini 3.1 Pro (Variant B),2,E0073,M00157,0.6,60.0,41.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0073,M00158,0.41,42.0,59.0,0.0,Kalshi,4.551914400963142e-17,6.550315845288423e-17
Gemini 3.1 Pro (Variant B),2,E0074,M00159,0.52,52.0,49.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0074,M00160,0.48,49.0,52.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0075,M00161,0.001,0.6,99.8,0.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),2,E0075,M00162,0.999,99.8,0.6,1.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),2,E0076,M00163,0.01,0.8,99.73,0.0,Polymarket,-1.6e-05,1.6e-05
Gemini 3.1 Pro (Variant B),2,E0076,M00164,0.99,99.73,0.8,1.0,Polymarket,-1.600000000000007e-05,1.600000000000007e-05
Gemini 3.1 Pro (Variant B),2,E0077,M00165,0.15,36.0,97.8,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0077,M00166,0.85,97.8,36.0,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0078,M00167,0.02,1.5,99.3,0.0,Polymarket,-7.500000000000001e-05,7.500000000000001e-05
Gemini 3.1 Pro (Variant B),2,E0078,M00168,0.98,99.3,1.5,1.0,Polymarket,-7.500000000000028e-05,7.500000000000028e-05
Gemini 3.1 Pro (Variant B),2,E0079,M00169,0.02,2.0,99.0,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0079,M00170,0.98,99.0,2.0,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),2,E0080,M00171,0.85,75.0,28.000000000000004,1.0,Kalshi,0.024999999999999994,0.07499999999999998
Gemini 3.1 Pro (Variant B),2,E0080,M00172,0.15,28.000000000000004,75.0,0.0,Kalshi,0.024999999999999994,0.07499999999999998
Gemini 3.1 Pro (Variant B),2,E0081,M00173,0.42,44.0,56.99999999999999,1.0,Kalshi,-0.005700000000000068,0.005700000000000068
Gemini 3.1 Pro (Variant B),2,E0081,M00174,0.5800000000000001,56.99999999999999,44.0,0.0,Kalshi,-0.005700000000000068,0.005700000000000068
Gemini 3.1 Pro (Variant B),2,E0082,M00175,0.53,54.0,47.0,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),2,E0082,M00176,0.47,47.0,54.0,1.0,Kalshi,,
Gemini 3.1 Pro (Variant B),3,E0083,M00177,0.31,30.0,71.0,0.0,Kalshi,-0.0030000000000000027,0.0030000000000000027
Gemini 3.1 Pro (Variant B),3,E0084,M00178,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00179,0.001,0.6,99.6,0.0,Polymarket,1.1999999999999858e-05,0.002988000000000003
Gemini 3.1 Pro (Variant B),3,E0084,M00180,0.001,0.3,99.7,0.0,Polymarket,5.999999999999929e-06,0.001994000000000002
Gemini 3.1 Pro (Variant B),3,E0084,M00181,0.001,0.7000000000000001,99.6,0.0,Polymarket,1.1999999999999858e-05,0.002988000000000003
Gemini 3.1 Pro (Variant B),3,E0084,M00182,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00183,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00184,0.005,0.5,99.6,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00185,0.001,0.5,99.6,0.0,Polymarket,1.1999999999999858e-05,0.002988000000000003
Gemini 3.1 Pro (Variant B),3,E0084,M00186,0.001,0.2,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00187,0.03,3.5000000000000004,96.6,0.0,Polymarket,0.00013600000000000027,0.0038640000000000033
Gemini 3.1 Pro (Variant B),3,E0084,M00188,0.001,0.2,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00189,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00190,0.001,0.2,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00191,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00192,0.001,0.2,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00193,0.001,0.6,99.5,0.0,Polymarket,2.0000000000000052e-05,0.0039800000000000035
Gemini 3.1 Pro (Variant B),3,E0084,M00194,0.001,0.5,99.8,0.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),3,E0084,M00195,0.001,0.5,99.7,0.0,Polymarket,5.999999999999929e-06,0.001994000000000002
Gemini 3.1 Pro (Variant B),3,E0084,M00196,0.0015,0.2,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0084,M00197,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00198,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00199,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00200,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00201,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00202,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00203,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00204,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00205,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00206,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00207,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0085,M00208,0.001,0.1,99.9,0.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0086,M00209,0.07,4.3999999999999995,95.6,0.0,Polymarket,-0.0011440000000000003,0.0011440000000000003
Gemini 3.1 Pro (Variant B),3,E0086,M00210,0.001,0.3,99.8,0.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),3,E0086,M00211,0.001,0.2,99.8,0.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),3,E0086,M00212,0.001,1.73,99.8,0.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),3,E0086,M00213,0.001,0.2,99.8,0.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),3,E0086,M00214,0.001,0.4,99.8,0.0,Polymarket,2.0000000000000486e-06,0.0009980000000000008
Gemini 3.1 Pro (Variant B),3,E0087,M00215,0.38,42.0,60.8,1.0,Kalshi,-0.0072960000000000065,0.0072960000000000065
Gemini 3.1 Pro (Variant B),3,E0087,M00216,0.11,11.4,90.4,0.0,Kalshi,,
Gemini 3.1 Pro (Variant B),3,E0088,M00217,0.36,37.0,64.0,1.0,Polymarket,,
Gemini 3.1 Pro (Variant B),3,E0088,M00218,0.4,42.0,59.0,0.0,Polymarket,0.004100000000000004,0.005900000000000005
Gemini 3.1 Pro (Variant B),3,E0089,M00219,0.99,4.0,97.0,0.0,Kalshi,-0.038,0.038
